MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
426,2016-06-01,Me Before You,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",Thea Sharrock,"Drama, Romance",7.924
427,2014-11-14,The Imitation Game,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Morten Tyldum,"History, Drama, Thriller, War",8.005
428,1992-05-22,Alien³,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Lance Henriksen",David Fincher,"Science Fiction, Action, Horror",6.354
429,2019-09-07,Vivarium,"Imogen Poots, Jesse Eisenberg, Jonathan Aris, Senan Jennings",Lorcan Finnegan,"Science Fiction, Thriller, Mystery, Horror",6.067
430,2016-04-15,Green Room,"Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole",Jeremy Saulnier,"Horror, Crime, Thriller",6.721
431,2022-03-17,X,"Mia Goth, Martin Henderson, Kid Cudi, Jenna Ortega",Ti West,"Horror, Thriller, Mystery",6.7
432,2021-12-07,Don't Look Up,"Jennifer Lawrence, Leonardo DiCaprio, Meryl Streep, Rob Morgan",Adam McKay,"Comedy, Science Fiction, Drama",7.111
433,1998-06-04,The Truman Show,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone",Peter Weir,"Comedy, Drama",8.14
434,2003-05-23,Bruce Almighty,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",Tom Shadyac,"Fantasy, Comedy",6.711
435,2001-08-02,The Others,"Nicole Kidman, Christopher Eccleston, Alakina Mann, James Bentley",Alejandro Amenábar,"Horror, Mystery, Thriller",7.614
436,2007-12-04,The Golden Compass,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker",Chris Weitz,"Adventure, Fantasy",6.06
437,2001-05-24,Moulin Rouge!,"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",Baz Luhrmann,"Drama, Romance, Music",7.568
